Company Name,LinkedIn Profile URL
Benchmark ESG Pvt Limited India,https://www.linkedin.com/company/benchmark-gensuite/
BharatGen TIH foundation for IoT & IoE,https://www.linkedin.com/company/bharatgen/
CSR BOX,https://www.linkedin.com/company/csr-box/
Exotel,https://www.linkedin.com/company/exotel/
Neo4j,https://www.linkedin.com/company/neo4j/
Airtel,https://www.linkedin.com/company/airtel/
Netweb Technologies India Ltd.,https://www.linkedin.com/company/netweb-technologies/
Larsen & Toubro Vyoma,https://www.linkedin.com/company/larsen-&-toubro/
Intel,https://www.linkedin.com/company/intel/
Red Hat India Pvt. Ltd.,https://www.linkedin.com/company/red-hat/
Adobe,https://www.linkedin.com/company/adobe/
AMD,https://www.linkedin.com/company/amd/
Deloitte Touche Tohmatsu India LLP (DTTILLP),https://www.linkedin.com/company/deloitte/
Neutrinos,https://www.linkedin.com/company/neutrinos/
AISECT,https://www.linkedin.com/company/aisect/
Apolitical Group Limited,https://www.linkedin.com/company/apolitical-group/
CBS INFORMATION SYSYEMS INC,https://www.linkedin.com/company/cbs-information-sysyems/
Asus,https://www.linkedin.com/company/asus/
Atman Cloud Consultants Pvt Lmt,https://www.linkedin.com/company/atman-cloud-consultants-pvt-lmt/
AVPN Asia,https://www.linkedin.com/company/avpn-asia/
AI Ready School,https://www.linkedin.com/company/ai-ready-school/
BITS Pilani Hyderabad,https://www.linkedin.com/school/bits-pilani/
Cybersecurity NexT Pvt. Ltd.,https://www.linkedin.com/company/cybersecurity-next/
Government of Bihar (Department of Information Technology),https://www.linkedin.com/company/government-of-bihar/
Chemours,https://www.linkedin.com/company/chemours/
Siemens Technology & Services Pvt. Ltd.,https://www.linkedin.com/company/siemens/
Cisco Commerce Cisco Systems,https://www.linkedin.com/company/cisco/
Corning Technologies India Pvt. Ltd.,https://www.linkedin.com/company/corning/
DevRev.ai,https://www.linkedin.com/company/devrevai/
WIPLON - Webspiders Interweb Pvt. Ltd.,https://www.linkedin.com/company/wiplon-webspiders-interweb/
EDU VANTAGE Pvt. Ltd.,https://www.linkedin.com/company/edu-vantage/
Embassy of Switzerland,https://www.linkedin.com/company/embassy-of-switzerland/
Italian Trade Agency,https://www.linkedin.com/company/italian-trade-agency/
ESET,https://www.linkedin.com/company/eset/
Eka Care,https://www.linkedin.com/company/eka-care/
Hanunnotech (Hanumayamma Innovations and Technologies Pvt. Ltd.),https://www.linkedin.com/company/hanunnotech/
HCLSoftware,https://www.linkedin.com/company/hclsoftware/
Cygnet Infotech Pvt. Ltd.,https://www.linkedin.com/company/cygnet-infotech/
Netsutra,https://www.linkedin.com/company/netsutra/
Cyfuture India Pvt. Ltd.,https://www.linkedin.com/company/cyfuture/
Lexlegis.ai,https://www.linkedin.com/company/lexlegisai/
Sol9X Pvt. Ltd.,https://www.linkedin.com/company/sol9x/
Constl (Spaceworld),https://www.linkedin.com/company/constl/
Dr. A.P.J Abdul Kalam Technical University Lucknow,https://www.linkedin.com/company/dr-apj-abdul-kalam-technical-university-lucknow/
Railtel Corporation 0f India Limited,https://www.linkedin.com/company/railtel-corporation-0f/
SIFY,https://www.linkedin.com/company/sify/
DDN,https://www.linkedin.com/company/ddn/
Neysa Networks Pvt. Ltd.,https://www.linkedin.com/company/ernstandyoung/
Nugen Intelligence,https://www.linkedin.com/company/intel/
Rooman Technologies Pvt. Ltd.,https://www.linkedin.com/company/rooman-technologies/
Population Council Institute,https://www.linkedin.com/company/population-council-institute/
iStreet Network Ltd,https://www.linkedin.com/company/istreet-network/
Tata Consultancy Services Limited (Tata AI Innovation Pavilion),https://www.linkedin.com/company/tata-consultancy-services/
Tata Group,https://www.linkedin.com/company/tata-group/
Google India,https://www.linkedin.com/company/google/
Jio Intelligence,https://www.linkedin.com/company/intel/
Yotta Data Services,https://www.linkedin.com/company/yotta-data-services/
Rootle Voconv Private Limited,https://www.linkedin.com/company/rootle-voconv/
Supermicro Computer Inc. Taiwan,https://www.linkedin.com/company/supermicro/
Hindustan Institute of Technology and Science,https://www.linkedin.com/company/hindustan-institute-of-technology-and-science/
Government of Odisha (Odisha Computer Applications Centre),https://www.linkedin.com/company/government-of-odisha/
SST India,https://www.linkedin.com/company/sst/
2B Innovations Technology Services Pvt. Ltd.,https://www.linkedin.com/company/2b-innovations-technology-services/
Pienomial Technologies Pvt. Ltd.,https://www.linkedin.com/company/pienomial-technologies/
CloudPe,https://www.linkedin.com/company/cloudpe/
WEKA,https://www.linkedin.com/company/weka/
Rapifuzz Pvt. Ltd.,https://www.linkedin.com/company/rapifuzz/
Virtual Height IT Services Pvt. Ltd.,https://www.linkedin.com/company/virtual-height-it-services/
Meta,https://www.linkedin.com/company/meta/
Fore Solutions Pvt. Ltd.,https://www.linkedin.com/company/fore-solutions/
Fortinet,https://www.linkedin.com/company/fortinet/
Codespire Solutions India Pvt. Ltd.,https://www.linkedin.com/company/codespire-solutions/
Rodic Consultants Pvt. Ltd.,https://www.linkedin.com/company/rodic-consultants/
Innefu Labs Limited,https://www.linkedin.com/company/innefu-labs/
IBM,https://www.linkedin.com/company/ibm/
Linkedin,https://www.linkedin.com/company/linkedin/
Ministry of Skill Development and Entrepreneurship,https://www.linkedin.com/company/ministry-of-skill-development-and-entrepreneurship/
Angelbot AI Pvt. Ltd.,https://www.linkedin.com/company/angelbot-ai/
Minaions Pvt. Ltd.,https://www.linkedin.com/company/minaions/
Kenpath technologies Pvt. Ltd.,https://www.linkedin.com/company/kenpath-technologies/
T4G Lab,https://www.linkedin.com/company/t4g-lab/
Gazelle Information Technologies,https://www.linkedin.com/company/gazelle-information-technologies/
Sambanova Systems India Pvt. Ltd.,https://www.linkedin.com/company/sambanova-systems/
Soket Labs Technology and Research Pvt. Ltd.,https://www.linkedin.com/company/soket-labs-technology-and-research/
Qualcomm India Pvt. Limited,https://www.linkedin.com/company/qualcomm/
Infosys,https://www.linkedin.com/company/infosys/
Vertiv,https://www.linkedin.com/company/vertiv/
Schneider Electric,https://www.linkedin.com/company/schneider-electric/
Cognizant Technology Solutions,https://www.linkedin.com/company/cognizant/
Intellect Design Arena,https://www.linkedin.com/company/intel/
ServiceNow Software Development India Pvt. Ltd.,https://www.linkedin.com/company/servicenow/
Wadhwani Foundation,https://www.linkedin.com/company/wadhwani-foundation/
Wadhwani AI,https://www.linkedin.com/company/wadhwani-ai/
Accenture,https://www.linkedin.com/company/accenture/
Accenture LearnVantage,https://www.linkedin.com/company/accenture/
Iconova Creative Outreach Network Pvt. Ltd.,https://www.linkedin.com/company/iconova-creative-outreach-network/
Arista Networks,https://www.linkedin.com/company/arista-networks-inc-/
Razorpay,https://www.linkedin.com/company/razorpay/
Plivo,https://www.linkedin.com/company/plivo/
Turiya Semiconductors Pvt. Ltd.,https://www.linkedin.com/company/turiya-semiconductors/
Population Council Institute,https://www.linkedin.com/company/population-council-institute/
iStreet Network Ltd,https://www.linkedin.com/company/istreet-network/
Tata Consultancy Services Limited (Tata AI Innovation Pavilion),https://www.linkedin.com/company/tata-consultancy-services/
Tata Group,https://www.linkedin.com/company/tata-group/
Google India,https://www.linkedin.com/company/google/
Jio Intelligence,https://www.linkedin.com/company/intel/
Yotta Data Services,https://www.linkedin.com/company/yotta-data-services/
Rootle Voconv Private Limited,https://www.linkedin.com/company/rootle-voconv/
Supermicro Computer Inc. Taiwan,https://www.linkedin.com/company/supermicro-computer-inc-taiwan/
Hindustan Institute of Technology and Science,https://www.linkedin.com/company/hindustan-institute-of-technology-and-science/
Government of Odisha (Odisha Computer Applications Centre),https://www.linkedin.com/company/government-of-odisha/
SST India,https://www.linkedin.com/company/sst/
2B Innovations Technology Services Pvt. Ltd.,https://www.linkedin.com/company/2b-innovations-technology-services/
Pienomial Technologies Pvt. Ltd.,https://www.linkedin.com/company/pienomial-technologies/
CloudPe,https://www.linkedin.com/company/cloudpe/
WEKA,https://www.linkedin.com/company/weka/
Rapifuzz Pvt. Ltd.,https://www.linkedin.com/company/rapifuzz/
Virtual Height IT Services Pvt. Ltd.,https://www.linkedin.com/company/virtual-height-it-services/
Meta,https://www.linkedin.com/company/meta/
Fore Solutions Pvt. Ltd.,https://www.linkedin.com/company/fore-solutions/
Fortinet,https://www.linkedin.com/company/fortinet/
Codespire Solutions India Pvt. Ltd.,https://www.linkedin.com/company/codespire-solutions/
Rodic Consultants Pvt. Ltd.,https://www.linkedin.com/company/rodic-consultants/
Innefu Labs Limited,https://www.linkedin.com/company/innefu-labs/
IBM,https://www.linkedin.com/company/ibm/
Linkedin,https://www.linkedin.com/company/linkedin/
Ministry of Skill Development and Entrepreneurship,https://www.linkedin.com/company/ministry-of-skill-development-and-entrepreneurship/
Angelbot AI Pvt. Ltd.,https://www.linkedin.com/company/angelbot-ai/
Minaions Pvt. Ltd.,https://www.linkedin.com/company/minaions/
Kenpath technologies Pvt. Ltd.,https://www.linkedin.com/company/kenpath-technologies/
T4G Lab,https://www.linkedin.com/company/t4g-lab/
Gazelle Information Technologies,https://www.linkedin.com/company/gazelle-information-technologies/
Sambanova Systems India Pvt. Ltd.,https://www.linkedin.com/company/sambanova-systems/
Soket Labs Technology and Research Pvt. Ltd.,https://www.linkedin.com/company/soket-labs-technology-and-research/
Qualcomm India Pvt. Limited,https://www.linkedin.com/company/qualcomm-india-pvt/
Infosys,https://www.linkedin.com/company/infosys/
Vertiv,https://www.linkedin.com/company/vertiv/
Schneider Electric,https://www.linkedin.com/company/schneider-electric/
Cognizant Technology Solutions,https://www.linkedin.com/company/cognizant-technology-solutions/
Intellect Design Arena,https://www.linkedin.com/company/intel/
ServiceNow Software Development India Pvt. Ltd.,https://www.linkedin.com/company/servicenow-software-development/
Wadhwani Foundation,https://www.linkedin.com/company/wadhwani-foundation/
Wadhwani AI,https://www.linkedin.com/company/wadhwani-ai/
Accenture,https://www.linkedin.com/company/accenture/
Accenture LearnVantage,https://www.linkedin.com/company/accenture/
Iconova Creative Outreach Network Pvt. Ltd.,https://www.linkedin.com/company/iconova-creative-outreach-network/
Arista Networks,https://www.linkedin.com/company/arista-networks/
Razorpay,https://www.linkedin.com/company/razorpay/
Plivo,https://www.linkedin.com/company/plivo/
Turiya Semiconductors Pvt. Ltd.,https://www.linkedin.com/company/turiya-semiconductors/
Vast Data,https://www.linkedin.com/company/vast-data/
Xlscout Xlpat India Pvt. Ltd.,https://www.linkedin.com/company/xlscout-xlpat/
Axis My India,https://www.linkedin.com/company/axis-my/
Indian Institute of Technology Madras,https://www.linkedin.com/company/indian-institute-of-technology-madras/
Galgotias University,https://www.linkedin.com/company/galgotias-university/
Mirror Security Pvt. Ltd.,https://www.linkedin.com/company/mirror-security/
Rec Limited(Rural Electrification Corp. Ltd.),https://www.linkedin.com/company/rec/
Coal India Limited <br>(CMPDI),https://www.linkedin.com/company/coal-india-limited-br/
ParadigmIT Technology Services Pvt. Ltd.,https://www.linkedin.com/company/paradigmit-technology-services/
Gautam Solar Pvt. Ltd.,https://www.linkedin.com/company/gautam-solar/
Hackerearth Technologies Pvt. Ltd.,https://www.linkedin.com/company/hackerearth-technologies/
Avesta Labs LLP,https://www.linkedin.com/company/avesta-labs/
Skorydov Robotics,https://www.linkedin.com/company/skorydov-robotics/
United Tyrekrafts Pvt. Ltd.,https://www.linkedin.com/company/united-tyrekrafts/
Salesforce,https://www.linkedin.com/company/salesforce/
Cloudflare India Pvt. Ltd.,https://www.linkedin.com/company/cloudflare/
Technology Services Industry Association,https://www.linkedin.com/company/technology-services-industry-association/
NeevCloud,https://www.linkedin.com/company/neevcloud/
NTT DATA,https://www.linkedin.com/company/ntt-data/
Relu AI Systems Pvt. Ltd.,https://www.linkedin.com/company/relu-ai-systems/
Smallest AI (Awaaz Labs Pvt. Ltd.),https://www.linkedin.com/company/smallest-ai/
Wipro Limited,https://www.linkedin.com/company/wipro/
Aarna Tech Consultants Pvt. Ltd.,https://www.linkedin.com/company/aarna-tech-consultants/
Airawat Research Foundation,https://www.linkedin.com/company/airawat-research-foundation/
PreDusk Technology Pvt. Ltd.,https://www.linkedin.com/company/predusk-technology/
Amnet Digital Pvt. Ltd.,https://www.linkedin.com/company/amnet-digital/
Digital Health Associates Pvt. Ltd,https://www.linkedin.com/company/digital-health-associates/
Antier Solutions Pvt. Ltd.,https://www.linkedin.com/company/antier-solutions/
Dell technologies,https://www.linkedin.com/company/dell/
Ministry of Panchayati Raj,https://www.linkedin.com/company/ministry-of-panchayati-raj/
Ariams Consulting Inc,https://www.linkedin.com/company/ariams-consulting/
Avirasoft Digital Technologies Pvt. Ltd.,https://www.linkedin.com/company/avirasoft-digital-technologies/
SquadStack.ai,https://www.linkedin.com/company/squadstackai/
SmoothAi Pvt. Ltd.,https://www.linkedin.com/company/smoothai/
Kgraph AI Solutions Pvt. Ltd.,https://www.linkedin.com/company/kgraph-ai-solutions/
Institute of Chartered Accountant of India,https://www.linkedin.com/company/institute-of-chartered-accountant-of/
AI Ventures,https://www.linkedin.com/company/ai-ventures/
Fairvaluation (Unlock Future Fintech Pvt. ltd.),https://www.linkedin.com/company/fairvaluation/
Scikiq Data Pvt. Ltd.,https://www.linkedin.com/company/scikiq-data/
Posidex technologies,https://www.linkedin.com/company/posidex-technologies/
Civic Data Labs,https://www.linkedin.com/company/civic-data-labs/
CommScope Inc,https://www.linkedin.com/company/commscope/
Intensity Global Technologies Limited,https://www.linkedin.com/company/intensity-global-technologies/
ESDS Software Solution Limited,https://www.linkedin.com/company/esds-software-solution/
Hughes Systique Pvt. Ltd.,https://www.linkedin.com/company/hughes-systique/
Extramarks Education India Pvt. Ltd.,https://www.linkedin.com/company/extramarks-education/
HP India Sales Pvt. Ltd.,https://www.linkedin.com/company/hp/
Acxiom Technologies,https://www.linkedin.com/company/acxiom-technologies/
ARTPARK,https://www.linkedin.com/company/artpark/
Australian Consulate - General,https://www.linkedin.com/company/australian-consulate-general/
AWS/Amazon,https://www.linkedin.com/company/amazon/
Axis Bank Limited,https://www.linkedin.com/company/axis-bank/
Biz-Tech Analytics,https://www.linkedin.com/company/biz-tech-analytics/
British High Commission India,https://www.linkedin.com/company/british-high-commission/
Business France,https://www.linkedin.com/company/business-france/
Vishwakarma University (Institute of Technology),https://www.linkedin.com/company/vishwakarma-university/
Bosch,https://www.linkedin.com/company/bosch/
Centre for Journalism Innovation and Development (CJID),https://www.linkedin.com/company/centre-for-journalism-innovation-and-development/
Froncort.AI Pvt. Ltd.,https://www.linkedin.com/company/froncortai/
Gnani.ai,https://www.linkedin.com/company/gnaniai/
Japan External Trade Organization,https://www.linkedin.com/company/japan-external-trade-organization/
Head Held High Foundation/ Jan AI,https://www.linkedin.com/company/head-held-high-foundation-jan-ai/
HPE,https://www.linkedin.com/company/hp/
Indus IntelliRisk and IntelliSense Services Pvt. Ltd.,https://www.linkedin.com/company/intel/
Biotechnology Industry Research Assistance Council,https://www.linkedin.com/company/biotechnology-industry-research-assistance-council/
MapZot.AI,https://www.linkedin.com/company/mapzotai/
Mastercard,https://www.linkedin.com/company/mastercard/
Microsoft,https://www.linkedin.com/company/microsoft/
Nasscom,https://www.linkedin.com/company/nasscom/
International Neurodegenerative Disorders Research Center,https://www.linkedin.com/company/international-neurodegenerative-disorders-research-center/
NVIDIA,https://www.linkedin.com/company/nvidia/
Government of Andhra Pradesh (Real Time Governance Society under ITE&C Department),https://www.linkedin.com/company/government-of-andhra-pradesh/
SapidBlue,https://www.linkedin.com/company/sap/
SAS Institute India Pvt. Ltd.,https://www.linkedin.com/company/sas-institute/
Planetskool,https://www.linkedin.com/company/planetskool/
Tech Mahindra,https://www.linkedin.com/company/tech-mahindra/
Transline Technologies Limited,https://www.linkedin.com/company/transline-technologies/
Unique Identification Authority of India,https://www.linkedin.com/company/unique-identification-authority-of/
WFP India,https://www.linkedin.com/company/wfp/
VVDN Technologies,https://www.linkedin.com/company/vvdn-technologies/
Chat360.io (Sumanel Technology Ventures Pvt. Ltd.),https://www.linkedin.com/company/chat360io/
Taiyo.AI,https://www.linkedin.com/company/taiyoai/
Embassy of the Kingdom of the Netherlands in India,https://www.linkedin.com/company/embassy-of-the-kingdom-of-the-netherlands-in/
Turing Enterprises (Rainphase Technologies),https://www.linkedin.com/company/turing-enterprises/
Prismberry Technologies Pvt. Ltd.,https://www.linkedin.com/company/prismberry-technologies/
iMerit Technology,https://www.linkedin.com/company/imerit-technology/
Open AI,https://www.linkedin.com/company/open-ai/
IIT Bombay (Indian Institute of Technology Bombay),https://www.linkedin.com/company/iit-bombay/
Genpact India Private Limited,https://www.linkedin.com/company/genpact/
CoRover Private Limted,https://www.linkedin.com/company/corover/
Jio Institute,https://www.linkedin.com/company/reliance-jio/
Indian Navy,https://www.linkedin.com/company/indian/
Centre for Railway Information Systems (CRIS),https://www.linkedin.com/company/centre/
Ministry of Education,https://www.linkedin.com/company/ministry-of/
11ZA,https://www.linkedin.com/company/11za/
Ministry of Electronics and Information Technology,https://www.linkedin.com/company/ministry-of-electronics-and-information/
Ministry of Information & Broadcastings,https://www.linkedin.com/company/ministry-of/
Sarvam AI,https://www.linkedin.com/company/sarvam-ai/
Gujarat Informatics Limited,https://www.linkedin.com/company/gujarat-informatics/
Ministry of Power,https://www.linkedin.com/company/ministry-of-power/
Bharat Electronics Ltd,https://www.linkedin.com/company/bharat-electronics/
Anusandhan National Research Foundation (ANRF),https://www.linkedin.com/company/anusandhan-national-research-foundation/
Kyndryl Solutions Pvt. Ltd.,https://www.linkedin.com/company/kyndryl/
Government of Uttarakhand (Department of Information Technology),https://www.linkedin.com/company/government-of/
NIMBORA,https://www.linkedin.com/company/nimbora/
Government of Telangana (T-Hub Foundation),https://www.linkedin.com/company/government-of/
Protean International DMCC,https://www.linkedin.com/company/protean-international/
YuVerse,https://www.linkedin.com/company/yuverse/
Apogean Technologies Pvt. Ltd.,https://www.linkedin.com/company/apogean/
ShellKode,https://www.linkedin.com/company/shellkode/
Mio AI | Merrito,https://www.linkedin.com/company/mio/
Haptik,https://www.linkedin.com/company/haptik/
Brandworks Technologies,https://www.linkedin.com/company/brandworks/
Anant Raj Cloud Pvt. Ltd.,https://www.linkedin.com/company/google-cloud/
Transport Corporation of India Limited,https://www.linkedin.com/company/transport-corporation-of/
Government of Meghalaya (Department of IT and Communications),https://www.linkedin.com/company/government-of/
Government of Tamil Nadu,https://www.linkedin.com/company/government-of-tamil-nadu/
Centre for Open Societal Systems (COSS) by IIIT-Bangalore (EkStep Foundation),https://www.linkedin.com/company/centre-for-open-societal-systems-by-international-institute-of-information-technology-bangalore/
SpectraONE,https://www.linkedin.com/company/spectraone/
Zoho,https://www.linkedin.com/company/zoho/
Concret.io,https://www.linkedin.com/company/concretio/
Digital India Bhashini Division,https://www.linkedin.com/company/vodafone-idea/
Vicharak Computers Pvt. Ltd.,https://www.linkedin.com/company/vodafone-idea/
Beyond Codes,https://www.linkedin.com/company/ernst-and-young/
Government of Rajasthan (Department of IT & Communications),https://www.linkedin.com/company/government-of/
Simplismart,https://www.linkedin.com/company/simplismart/
The Cutting Edge Group,https://www.linkedin.com/company/the-cutting/
ZingHR (CNERGYIS INFOTECH INDIA Pvt. Ltd.),https://www.linkedin.com/company/zinghr/
ALIMCO (Artificial Limbs Manufacturing Corporation Of India),https://www.linkedin.com/company/alimco/
R Process,https://www.linkedin.com/company/r-process/
GitHub,https://www.linkedin.com/company/github/
People Prime,https://www.linkedin.com/company/people-prime/
Karmayogi Bharat (Department of Personnel and Training),https://www.linkedin.com/company/karmayogi-bharat/
Delhi Metro Corporation,https://www.linkedin.com/company/delhi/
Government of Punjab (Information & Communication Tech Corp Ltd.),https://www.linkedin.com/company/government-of/
Ishan Technologies,https://www.linkedin.com/company/ishan/
Suronex and Zero Forg,https://www.linkedin.com/company/zerodha/
TrueFan AI,https://www.linkedin.com/company/truefan/
Aiwo Limited,https://www.linkedin.com/company/aiwo/
Blockchain For Impact,https://www.linkedin.com/company/blockchain-for-impact/
The LEGO Group,https://www.linkedin.com/company/the-lego/
Dayananda Sagar University,https://www.linkedin.com/company/dayananda/
Government of Manipur (Department of Information Technology),https://www.linkedin.com/company/government-of/
Avinyaa EdTech (Kreativespace),https://www.linkedin.com/company/vodafone-idea/
PRAMA India Pvt. Ltd.,https://www.linkedin.com/company/prama/
Ripik technology Pvt. Ltd.,https://www.linkedin.com/company/ripik/
The STEM Practice Company,https://www.linkedin.com/company/the-stem-practice/
Integra Micro Systems,https://www.linkedin.com/company/microsoft/
Government of Madhya Pradesh (State Electronics Development Corporation),https://www.linkedin.com/company/government-of/
IIT Kharagpur (AI4ICPS I Hub Foundation),https://www.linkedin.com/company/indian-institute-of-technology-kharagpur/
Bourntec Solutions Pvt. Ltd.,https://www.linkedin.com/company/bourntec/
Gates Foundation,https://www.linkedin.com/company/gates/
Government of Maharashtra,https://www.linkedin.com/company/government-of/
Resecurity,https://www.linkedin.com/company/resecurity/
Ministry of Agriculture,https://www.linkedin.com/company/ministry-of-agriculture/
IILM University,https://www.linkedin.com/company/iilm-university/
Government of Goa (Department of IT & Electronics),https://www.linkedin.com/company/government-of-goa/
Open AI (Lounge),https://www.linkedin.com/company/open-ai/
Tanna Techbiz LLP,https://www.linkedin.com/company/tanna-technologiesbiz/
Government of Uttar Pradesh,https://www.linkedin.com/company/government-of/
Scaler School of technology,https://www.linkedin.com/company/scaler/
E-Solutions IT Services Pvt. Ltd.,https://www.linkedin.com/company/e-solutions-it/
Government of Chhattisgarh (State Industrial Development Corporation),https://www.linkedin.com/company/government-of/
LeadupUniverse - E&ICT IIT Kanpur,https://www.linkedin.com/company/leadupuniverse-eict-indian-institute-of-technology-kanpur/
FuturixAI,https://www.linkedin.com/company/futurixai/
Ansys Software Pvt. Ltd,https://www.linkedin.com/company/ansys-software/
dDriven,https://www.linkedin.com/company/ddriven/
Indian Army,https://www.linkedin.com/company/indian/
Evvolv.ai,https://www.linkedin.com/company/evvolvai/
Knight Fintech,https://www.linkedin.com/company/knight/
Repro India Pvt Ltd,https://www.linkedin.com/company/repro/
Cubastion Consulting Private Limited,https://www.linkedin.com/company/cubastion/
Refroid Technologies Private Limited,https://www.linkedin.com/company/refroid/
Amity University,https://www.linkedin.com/company/amity/
TCG DIGITAL SOLUTIONS PVT. LTD.,https://www.linkedin.com/company/tcg-digital/
Thoughtworks,https://www.linkedin.com/company/thoughtworks/
Ministry of Ayush,https://www.linkedin.com/company/ministry-of/
Ministry of Earth Sciences(Indian Instiutute of Tropical Sciences),https://www.linkedin.com/company/ministry-of-earth/
Centre for Development of Telematics (C-DOT),https://www.linkedin.com/company/centre-for-development-of-telematics/
Ministry of Rural Development,https://www.linkedin.com/company/ministry-of-rural/
Ministry of Heavy Industries(Engineering Projects India Ltd),https://www.linkedin.com/company/ministry-of/
Ministry of Steel,https://www.linkedin.com/company/ministry-of/
Ministry of Tribal Affairs,https://www.linkedin.com/company/ministry-of-tribal-affairs/
DRDO,https://www.linkedin.com/company/drdo/
Government of Tripura (Directorate of IT),https://www.linkedin.com/company/government-of/
Government of Assam (Department of IT),https://www.linkedin.com/company/government-of/
Government of Kerala (State IT Mission),https://www.linkedin.com/company/government-of/
National Payments Corporation of India (NPCI),https://www.linkedin.com/company/national-payments/
Trestle Labs Private Limited,https://www.linkedin.com/company/trestle/
BUSINESSNEXT,https://www.linkedin.com/company/businessnext/
Meesho,https://www.linkedin.com/company/meesho/
Kavion,https://www.linkedin.com/company/vodafone-idea/
AdaniConnex,https://www.linkedin.com/company/adaniconnex/
Josh Talks,https://www.linkedin.com/company/josh/
IIT Gandhinagar,https://www.linkedin.com/company/iit-gandhinagar/
ElevenLabs,https://www.linkedin.com/company/elevenlabs/
Ministry of Health and Family affairs,https://www.linkedin.com/company/ministry-of-health-and-family-affairs/
ERA EDUCATION TRUST,https://www.linkedin.com/company/era-education-trust/
Aventisia Technologies Private Limited,https://www.linkedin.com/company/aventisia/
Africa AI Village (Qhala Trust),https://www.linkedin.com/company/vodafone-idea/
INDO GERMAN CHAMBER OF COMMERCE,https://www.linkedin.com/company/indo-german-chamber-of/
Central Bureau of Communication (MIB),https://www.linkedin.com/company/central-bureau/
Pitch my Venture (IGHC Limited ),https://www.linkedin.com/company/pitch-my/
MobilePe Fintech Private Limited,https://www.linkedin.com/company/mobilepe/
ActionSync,https://www.linkedin.com/company/actionsync/
Prisma AI,https://www.linkedin.com/company/prisma-ai/
AKIS TECH. LIMITED (Russian Pavilion - Russoft),https://www.linkedin.com/company/akis/
Government of Republic of Serbia,https://www.linkedin.com/company/government-of-republic-of/
Nigeria AI Collective,https://www.linkedin.com/company/nigeria-ai-collective/
VIRSA.AI,https://www.linkedin.com/company/vodafone-idea/
Varahi Technologies Pvt Ltd,https://www.linkedin.com/company/varahi/
MIND WEBS VENTURES,https://www.linkedin.com/company/ltimindtree/
Infutrix,https://www.linkedin.com/company/infutrix/
NeuralFactoryAI,https://www.linkedin.com/company/neuralfactoryai/
Niral Networks,https://www.linkedin.com/company/niral/
Recapi AI,https://www.linkedin.com/company/recapi/
